Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for windows-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:53 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16448576k(6769704k free), swap 33225792k(10969356k free)
CommandLine flags: -XX:InitialHeapSize=314572800 -XX:MaxHeapSize=314572800 -XX:MaxNewSize=209715200 -XX:MaxTenuringThreshold=15 -XX:NewSize=209715200 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=20971520 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=2 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
141.788: [GC (Allocation Failure) 141.788: [ParNew: 94164K->10240K(153600K), 0.0021861 secs] 95293K->11369K(256000K), 0.0022804 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
142.800: [GC (Allocation Failure) 142.800: [ParNew: 104404K->10240K(153600K), 0.0037007 secs] 105533K->11369K(256000K), 0.0038420 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
143.819: [GC (Allocation Failure) 143.819: [ParNew: 104404K->10240K(153600K), 0.0036770 secs] 105533K->11369K(256000K), 0.0038357 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
144.837: [GC (Allocation Failure) 144.837: [ParNew: 104404K->0K(153600K), 0.0009308 secs] 105533K->1129K(256000K), 0.0010457 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
145.853: [GC (Allocation Failure) 145.854: [ParNew: 94164K->10240K(153600K), 0.0036940 secs] 95293K->11369K(256000K), 0.0038614 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
146.872: [GC (Allocation Failure) 146.872: [ParNew: 104404K->20480K(153600K), 0.0068468 secs] 105533K->21609K(256000K), 0.0070039 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
147.896: [GC (Allocation Failure) 147.896: [ParNew: 114644K->30720K(153600K), 0.0102080 secs] 115773K->31849K(256000K), 0.0103734 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
149.914: [GC (Allocation Failure) 149.914: [ParNew: 124884K->0K(153600K), 0.0008779 secs] 126013K->1129K(256000K), 0.0009983 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
150.932: [GC (Allocation Failure) 150.932: [ParNew: 94164K->10240K(153600K), 0.0036853 secs] 95293K->11369K(256000K), 0.0038373 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
151.950: [GC (Allocation Failure) 151.950: [ParNew: 104404K->10240K(153600K), 0.0018119 secs] 105533K->11369K(256000K), 0.0018849 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
152.962: [GC (Allocation Failure) 152.962: [ParNew: 104404K->10240K(153600K), 0.0036383 secs] 105533K->11369K(256000K), 0.0037800 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
153.982: [GC (Allocation Failure) 153.982: [ParNew: 104404K->0K(153600K), 0.0008870 secs] 105533K->1129K(256000K), 0.0010086 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
155.002: [GC (Allocation Failure) 155.002: [ParNew: 94164K->10240K(153600K), 0.0017826 secs] 95293K->11369K(256000K), 0.0018442 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
156.014: [GC (Allocation Failure) 156.014: [ParNew: 104404K->20480K(153600K), 0.0046232 secs] 105533K->21609K(256000K), 0.0047472 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
157.027: [GC (Allocation Failure) 157.027: [ParNew: 114644K->30720K(153600K), 0.0052891 secs] 115773K->31849K(256000K), 0.0053728 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
159.039: [GC (Allocation Failure) 159.039: [ParNew: 124884K->0K(153600K), 0.0005668 secs] 126013K->1129K(256000K), 0.0006568 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
160.050: [GC (Allocation Failure) 160.050: [ParNew: 94164K->10240K(153600K), 0.0021612 secs] 95293K->11369K(256000K), 0.0022504 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
161.060: [GC (Allocation Failure) 161.060: [ParNew: 104404K->10240K(153600K), 0.0018217 secs] 105533K->11369K(256000K), 0.0018963 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
162.068: [GC (Allocation Failure) 162.068: [ParNew: 104404K->10240K(153600K), 0.0018403 secs] 105533K->11369K(256000K), 0.0019275 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
163.077: [GC (Allocation Failure) 163.077: [ParNew: 104404K->0K(153600K), 0.0003813 secs] 105533K->1129K(256000K), 0.0004417 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
164.085: [GC (Allocation Failure) 164.085: [ParNew: 94164K->10240K(153600K), 0.0023412 secs] 95293K->11369K(256000K), 0.0024284 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
165.095: [GC (Allocation Failure) 165.096: [ParNew: 104404K->20480K(153600K), 0.0033786 secs] 105533K->21609K(256000K), 0.0034532 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
